List,Accession,Symbol,Protein Name,Proteomics,No. of peptides,MaxScore,Vasomotricity,BBB-Specific Proteins,Tight Junction and/or Adhesion Proteins,Membrane Transporter and Channel Proteins,ECM and Basal Lamina Proteins,Chun et al.,,
List 1 and 2,Q9WUB3,PYGM,"Glycogen phosphorylase, muscle form",Both,8,88,,,,,,,,
List 1 and 2,P18872,GNAO1,Guanine nucleotide-binding protein G(o) subunit alpha,Both,5,88,,,,,,,,
List 1 and 2,Q9CQN1,TRAP1,"Heat shock protein 75 kDa, mitochondrial",Both,3,88,,,,,,,,
List 1 and 2,P11499,HSP90AB1,Heat shock protein HSP 90-beta,Both,14,88,,,,,,,,
List 1 and 2,Q8R081,HNRNPL,Heterogeneous nuclear ribonucleoprotein L,Both,10,88,,,,,,,,
List 1 and 2,Q62009,POSTN,Periostin,Both,4,88,,,,,Yes,,,
List 1 and 2,Q91VJ2,PRKCDBP,Protein kinase C delta-binding protein,Both,17,88,,,,,,,,
List 1 and 2,P40142,TKT,Transketolase,Both,7,88,,,,,,,,
List 1 and 2,O88990,ACTN3,Alpha-actinin-3,Both,9,87,,,,,,,,
List 1 and 2,P27600,GNA12,Guanine nucleotide-binding protein subunit alpha-12,Both,3,87,,Yes,,,,Yes,,
List 1 and 2,Q61029,TMPO,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma",Both,11,87,,,,,,,,
List 1 and 2,Q03173,ENAH,Protein enabled homolog,Both,12,87,,,,,,,,
List 1 and 2,P35486,PDHA1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",Both,13,87,,,,,,,,
List 1 and 2,P17751,TPI1,Triosephosphate isomerase,Both,10,87,,,,,,,,
List 1 and 2,Q9DCX2,ATP5H,"ATP synthase subunit d, mitochondrial",Both,8,86,,,,Yes,,Yes,,
List 1 and 2,P12787,COX5A,"Cytochrome c oxidase subunit 5A, mitochondrial",Both,7,86,,,,,,,,
List 1 and 2,P43274,HIST1H1E,Histone H1.4,Both,6,86,,,,,,,,
List 1 and 2,Q99PT1,ARHGDIA,Rho GDP-dissociation inhibitor 1,Both,6,86,,,,,,,,
List 1 and 2,P80316,CCT5,T-complex protein 1 subunit epsilon,Both,6,86,,,,,,,,
List 1 and 2,P99024,TUBB5,Tubulin beta-5 chain,Both,15,86,,,,,,,,
List 1 and 2,P14869,RPLP0,60S acidic ribosomal protein P0,Both,9,85,,,,,,,,
List 1 and 2,Q9CYT6,CAP2,Adenylyl cyclase-associated protein 2,Both,6,85,,,,,,,,
List 1 and 2,O54734,DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Both,5,85,,,,,,,,
List 1 and 2,P10126,EEF1A1,Elongation factor 1-alpha 1,Both,14,85,,,,,,,,
List 1 and 2,P26443,GLUD1,"Glutamate dehydrogenase 1, mitochondrial",Both,30,85,,,,,,,,
List 1 and 2,O35737,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,Both,4,85,,,,,,,,
List 1 and 2,Q9Z204,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2,Both,4,85,,,,,,,,
List 1 and 2,P14873,MAP1B,Microtubule-associated protein 1B,Both,6,85,,,,,,,,
List 1 and 2,P27773,PDIA3,Protein disulfide-isomerase A3,Both,31,85,,,,,,,,
List 1 and 2,Q99PL5,RRBP1,Ribosome-binding protein 1,Both,8,85,,,,,,,,
List 1 and 2,Q91YE8,SYNPO2,Synaptopodin-2,Both,12,85,,,,,,,,
List 1 and 2,Q7TMM9,TUBB2A,Tubulin beta-2A chain,Both,6,85,,,,,,,,
List 1 and 2,Q61147,CP,Ceruloplasmin,Both,18,84,,,,,,,,
List 1 and 2,P70670,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",Both,6,84,,,,,,,,
List 1 and 2,Q501J6,DDX17,Probable ATP-dependent RNA helicase DDX17,Both,6,84,,,,,,,,
List 1 and 2,P19324,SERPINH1,Serpin H1,Both,7,84,,,,,,,,
List 1 and 2,Q60931,VDAC3,Voltage-dependent anion-selective channel protein 3,Both,7,84,,,,,,,,
List 1 and 2,P62242,RPS8,40S ribosomal protein S8,Both,4,83,,,,,,,,
List 1 and 2,P48962,SLC25A4,ADP/ATP translocase 1,Both,19,83,,,,Yes,,Yes,,
List 1 and 2,Q9DCW4,ETFB,Electron transfer flavoprotein subunit beta,Both,13,83,,,,,,,,
List 1 and 2,P99029,PRDX5,"Peroxiredoxin-5, mitochondrial",Both,3,83,,,,,,,,
List 1 and 2,Q9DBX3,SUSD2,Sushi domain-containing protein 2,Both,6,83,,,,,,,,
List 1 and 2,Q06185,ATP5I,"ATP synthase subunit e, mitochondrial",Both,8,82,,,,Yes,,,,
List 1 and 2,O35658,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",Both,3,82,,,,,,,,
List 1 and 2,Q9QZQ8,H2AFY,Core histone macro-H2A.1,Both,5,82,,,,,,,,
List 1 and 2,Q61738,ITGA7,Integrin alpha-7,Both,10,82,,,Yes,,,Yes,,
List 1 and 2,O55222,ILK,Integrin-linked protein kinase,Both,16,82,Yes,,,,,,,
List 1 and 2,Q62433,NDRG1,Protein NDRG1,Both,6,82,,,,,,,,
List 1 and 2,P62830,RPL23,60S ribosomal protein L23,Both,3,81,,,,,,,,
List 1 and 2,P47754,CAPZA2,F-actin-capping protein subunit alpha-2,Both,9,81,,,,,,,,
List 1 and 2,P20108,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",Both,7,81,,,,,,,,
List 1 and 2,P14602,HSPB1,Heat shock protein beta-1,Both,12,80,,,,,,,,
List 1 and 2,P22752,HIST1H2AB,Histone H2A type 1,Both,5,80,,,,,,,,
List 1 and 2,Q8BVA4,LMOD1,Leiomodin-1,Both,18,80,,,,,,,,
List 1 and 2,Q8VEM8,SLC25A3,"Phosphate carrier protein, mitochondrial",Both,11,80,,,,Yes,,Yes,,
List 1 and 2,P09411,PGK1,Phosphoglycerate kinase 1,Both,16,80,,,,,,,,
List 1 and 2,Q9QXS1,PLEC1,Plectin,Both,37,80,,,,,,,,
List 1 and 2,O35129,PHB2,Prohibitin-2,Both,7,80,,,,,,,,
List 1 and 2,Q8VHW2,CACNG8,Voltage-dependent calcium channel gamma-8 subunit,Both,4,80,,,,,,,,
List 1 and 2,Q8CIZ8,VWF,von Willebrand factor,Both,9,80,,Yes,,,Yes,Yes,,
List 1 and 2,Q61301,CTNNA2,Catenin alpha-2,Both,3,79,,,Yes,,,Yes,,
List 1 and 2,P58252,EEF2,Elongation factor 2,Both,15,79,,,,,,,,
List 1 and 2,Q9EQ06,HSD17B11,Estradiol 17-beta-dehydrogenase 11,Both,3,79,,,,,,,,
List 1 and 2,Q3U7R1,ESYT1,Extended synaptotagmin-1,Both,21,79,,,,,,,,
List 1 and 2,P97447,FHL1,Four and a half LIM domains protein 1,Both,7,79,,,,,,,,
List 1 and 2,P0C0S6,H2AFZ,Histone H2A.Z,Both,8,79,,,,,,,,
List 1 and 2,P51150,RAB7A,Ras-related protein Rab-7a,Both,6,79,,,,,,,,
List 1 and 2,P80315,CCT4,T-complex protein 1 subunit delta,Both,10,79,,,,,,,,
List 1 and 2,P42932,CCT8,T-complex protein 1 subunit theta,Both,15,79,,,,,,,,
List 1 and 2,Q9WV32,ARPC1B,Actin-related protein 2/3 complex subunit 1B,Both,4,78,,,,,,,,
List 1 and 2,Q8CI43,MYL6B,Myosin light chain 6B,Both,4,78,,,,,,,,
List 1 and 2,P24369,PPIB,Peptidyl-prolyl cis-trans isomerase B,Both,7,78,,,,,,,,
List 1 and 2,Q80SW1,AHCYL1,Putative adenosylhomocysteinase 2,Both,3,78,,,,,,,,
List 1 and 2,P05213,TUBA1B,Tubulin alpha-1B chain,Both,9,78,,,,,,,,
List 1 and 2,P68510,YWHAH,14-3-3 protein eta,Both,7,77,,,,,,,,
List 1 and 2,Q9WTR5,CDH13,Cadherin-13,Both,5,77,,,Yes,,,,,
List 1 and 2,Q9CR68,UQCRFS1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",Both,10,77,,,,,,,,
List 1 and 2,P17710,HK1,Hexokinase-1,Both,14,77,,,,,,,,
List 1 and 2,Q9Z2D6,MECP2,Methyl-CpG-binding protein 2,Both,9,77,,,,,,,,
List 1 and 2,Q8VIJ6,SFPQ,"Splicing factor, proline- and glutamine-rich",Both,8,77,,,,,,,,
List 1 and 2,P17426,AP2A1,AP-2 complex subunit alpha-1,Both,8,76,,,,,,,,
List 1 and 2,P97450,ATP5J,"ATP synthase-coupling factor 6, mitochondrial",Both,4,76,,,,Yes,,Yes,,
List 1 and 2,Q8BX02,KANK2,KN motif and ankyrin repeat domain-containing protein 2,Both,8,76,,,,,,,,
List 1 and 2,Q01730,RSU1,Ras suppressor protein 1,Both,7,76,,,,,,,,
List 1 and 2,P17809,SLC2A1,"Solute carrier family 2, facilitated glucose transporter member 1",Both,7,76,,Yes,,Yes,,,,
List 1 and 2,Q9D6F9,TUBB4,Tubulin beta-4A chain,Both,5,76,,,,,,,,
List 1 and 2,P57776,EEF1D,Elongation factor 1-delta,Both,6,75,,,,,,,,
List 1 and 2,Q9QYB5,ADD3,Gamma-adducin,Both,5,75,,,,,,,,
List 1 and 2,P29387,GNB4,Guanine nucleotide-binding protein subunit beta-4,Both,3,75,,,,,,,,
List 1 and 2,P70696,HIST1H2BA,Histone H2B type 1-A,Both,2,75,,,,,,,,
List 1 and 2,Q99P72,RTN4,Reticulon-4,Both,6,75,,,,,,,,
List 1 and 2,P42227,STAT3,Signal transducer and activator of transcription 3,Both,4,75,,,,,,,,
List 1 and 2,P10852,SLC3A2,4F2 cell-surface antigen heavy chain,Both,10,74,,,,Yes,,,,
List 1 and 2,Q99JY9,ACTR3,Actin-related protein 3,Both,8,74,,,,,,,,
List 1 and 2,Q8VEH3,ARL8A,ADP-ribosylation factor-like protein 8A,Both,3,74,,,,,,,,
List 1 and 2,Q91VR2,ATP5C1,"ATP synthase subunit gamma, mitochondrial",Both,13,74,,,,Yes,,Yes,,
List 1 and 2,Q9WVC3,CAV2,Caveolin-2,Both,2,74,,,,,,,,
List 1 and 2,P16627,HSPA1L,Heat shock 70 kDa protein 1-like,Both,3,74,,,,,,,,
List 1 and 2,Q3V3R4,ITGA1,Integrin alpha-1,Both,10,74,,,Yes,,,Yes,,
List 1 and 2,O35639,ANXA3,Annexin A3,Both,6,73,,,,,,,,
List 1 and 2,P49817,CAV1,Caveolin-1,Both,12,73,,Yes,,,,Yes,,
List 1 and 2,P48771,COX7A2,"Cytochrome c oxidase subunit 7A2, mitochondrial",Both,4,73,,,,,,,,
List 1 and 2,O08579,EMD,Emerin,Both,5,73,,,,,,,,
List 1 and 2,Q9WTP7,AK3,"GTP:AMP phosphotransferase, mitochondrial",Both,7,73,,,,,,,,
List 1 and 2,Q9Z1W8,ATP12A,Potassium-transporting ATPase alpha chain 2,Both,4,73,,,,Yes,,Yes,,
List 1 and 2,Q91ZA3,PCCA,"Propionyl-CoA carboxylase alpha chain, mitochondrial",Both,8,73,,,,,,,,
List 1 and 2,O70279,DGCR14,Protein DGCR14,Both,2,73,,,,,,,,
List 1 and 2,P46638,RAB11B,Ras-related protein Rab-11B,Both,7,73,,,,,,,,
List 1 and 2,P82198,TGFBI,Transforming growth factor-beta-induced protein ig-h3,Both,3,73,,,,,Yes,,,
List 1 and 2,Q9JHU4,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,Both,9,72,,,,,,,,
List 1 and 2,O08749,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial",Both,19,72,,,,,,,,
List 1 and 2,Q91YQ5,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,Both,9,72,,,,,,,,
List 1 and 2,P41216,ACSL1,Long-chain-fatty-acid--CoA ligase 1,Both,7,72,,,,,,,,
List 1 and 2,P62141,PPP1CB,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,Both,6,72,Yes,,,,,,,
List 1 and 2,P56135,ATP5J2,"ATP synthase subunit f, mitochondrial",Both,3,71,,,,Yes,,Yes,,
List 1 and 2,P43029,GDF7,Growth/differentiation factor 7,Both,4,71,,,,,,,,
List 1 and 2,P16125,LDHB,L-lactate dehydrogenase B chain,Both,8,71,,,,,,,,
List 1 and 2,O88322,NID2,Nidogen-2,Both,5,71,,,,,Yes,Yes,,
List 1 and 2,P35700,PRDX1,Peroxiredoxin-1,Both,6,71,,,,,,,,
List 1 and 2,O55131,Sept7,Septin-7,Both,9,71,,,,,,,,
List 1 and 2,Q9D1D4,TMED10,Transmembrane emp24 domain-containing protein 10,Both,3,71,,,,,,,,
List 1 and 2,A2CE44,ZXDA,Zinc finger X-linked protein ZXDA/ZXDB,Both,6,71,,,,,,,,
List 1 and 2,P12970,RPL7A,60S ribosomal protein L7a,Both,7,70,,,,,,,,
List 1 and 2,Q8BMD8,SLC25A24,Calcium-binding mitochondrial carrier protein SCaMC-1,Both,6,70,,,,Yes,,,,
List 1 and 2,O08529,CAPN2,Calpain-2 catalytic subunit,Both,6,70,,,,,,,,
List 1 and 2,P26040,EZR,Ezrin,Both,6,70,,,,,,,,
List 1 and 2,P68040,GNB2L1,Guanine nucleotide-binding protein subunit beta-2-like 1,Both,4,70,,,,,,,,
List 1 and 2,Q64524,HIST2H2BE,Histone H2B type 2-E,Both,4,70,,,,,,,,
List 1 and 2,Q9CQ19,MYL9,Myosin regulatory light polypeptide 9,Both,8,70,,,,,,,,
List 1 and 2,P61161,ACTR2,Actin-related protein 2,Both,9,69,,,,,,,,
List 1 and 2,Q9D898,ARPC5L,Actin-related protein 2/3 complex subunit 5-like protein,Both,4,69,,,,,,,,
List 1 and 2,P17427,AP2A2,AP-2 complex subunit alpha-2,Both,4,69,,,,,,,,
List 1 and 2,Q91Z96,BMP2K,BMP-2-inducible protein kinase,Both,5,69,,,,,,,,
List 1 and 2,P11087,COL1A1,Collagen alpha-1(I) chain,Both,19,69,,,,,Yes,,,
List 1 and 2,P11531,DMD,Dystrophin,Both,7,69,,,,,,,,
List 1 and 2,Q8BH95,ECHS1,"Enoyl-CoA hydratase, mitochondrial",Both,7,69,,,,,,,,
List 1 and 2,Q61425,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",Both,8,69,,,,,,,,
List 1 and 2,P15532,NME1,Nucleoside diphosphate kinase A,Both,5,69,,,,,,,,
List 1 and 2,Q9JJU8,SH3BGRL,SH3 domain-binding glutamic acid-rich-like protein,Both,6,69,,,,,,,,
List 1 and 2,P09671,SOD2,"Superoxide dismutase [Mn], mitochondrial",Both,5,69,,,,,,,,
List 1 and 2,P05214,TUBA3A,Tubulin alpha-3 chain,Both,8,69,,,,,,,,
List 1 and 2,Q8BH59,SLC25A12,Calcium-binding mitochondrial carrier protein Aralar1,Both,8,68,,,,Yes,,Yes,,
List 1 and 2,P14211,CALR,Calreticulin,Both,11,68,,,,,,,,
List 1 and 2,Q3U0V1,KHSRP,Far upstream element-binding protein 2,Both,11,68,,,,,,,,
List 1 and 2,A6PWD2,FHAD1,Forkhead-associated domain-containing protein 1,Both,4,68,,,,,,,,
List 1 and 2,Q61581,IGFBP7,Insulin-like growth factor-binding protein 7,Both,3,68,,,,,,,,
List 1 and 2,Q9DBJ1,PGAM1,Phosphoglycerate mutase 1,Both,4,68,,,,,,,,
List 1 and 2,Q8K386,RAB15,Ras-related protein Rab-15,Both,3,68,,,,,,,,
List 1 and 2,P14094,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,Both,4,68,,,,Yes,,Yes,,
List 1 and 2,Q9Z1N5,BAT1,Spliceosome RNA helicase Ddx39b,Both,6,68,,,,,,,,
List 1 and 2,Q8CGB6,TENC1,Tensin-like C1 domain-containing phosphatase,Both,3,68,,,,,,,,
List 1 and 2,Q9CRB9,CHCHD3,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial",Both,7,67,,,,,,,,
List 1 and 2,Q60847,COL12A1,Collagen alpha-1(XII) chain,Both,13,67,,,,,Yes,,,
List 1 and 2,Q9D379,EPHX1,Epoxide hydrolase 1,Both,7,67,,,,,,,,
List 1 and 2,Q61543,GLG1,Golgi apparatus protein 1,Both,3,67,,,,,,,,
List 1 and 2,Q9DAS9,GNG12,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,Both,4,67,,,,,,,,
List 1 and 2,Q60668,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0,Both,6,67,,,,,,,,
List 1 and 2,Q7TSC1,BAT2,Protein PRRC2A,Both,6,67,,,,,,,,
List 1 and 2,P63001,RAC1,Ras-related C3 botulinum toxin substrate 1,Both,4,67,,,,,,,,
List 1 and 2,O35479,RBMX,"RNA binding motif protein, X-linked-like-1",Both,4,67,,,,,,,,
List 1 and 2,Q61545,EWSR1,RNA-binding protein EWS,Both,5,67,,,,,,,,
List 1 and 2,P39447,TJP1,Tight junction protein ZO-1,Both,5,67,,,Yes,,,Yes,,
List 1 and 2,P62270,RPS18,40S ribosomal protein S18,Both,4,66,,,,,,,,
List 1 and 2,A2ASQ1,AGRN,Agrin,Both,6,66,,,,,Yes,Yes,,
List 1 and 2,P10630,EIF4A2,Eukaryotic initiation factor 4A-II,Both,5,66,,,,,,,,
List 1 and 2,Q69ZN7,MYOF,Myoferlin,Both,7,66,,,,,,,,
List 1 and 2,Q80TE4,SIPA1L2,Signal-induced proliferation-associated 1-like protein 2,Both,4,66,,,,,,,,
List 1 and 2,Q62318,TRIM28,Transcription intermediary factor 1-beta,Both,4,66,,,,,,,,
List 1 and 2,P62852,RPS25,40S ribosomal protein S25,Both,4,65,,,,,,,,
List 1 and 2,Q8CD26,SLC35E1,Solute carrier family 35 member E1,Both,5,65,,,,Yes,,,,
List 1 and 2,Q58A65,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,Both,3,64,,,,,,,,
List 1 and 2,P62897,CYCS,"Cytochrome c, somatic",Both,3,64,,,,,,,,
List 1 and 2,Q62165,DAG1,Dystroglycan,Both,6,64,,,,,,,,
List 1 and 2,Q61316,HSPA4,Heat shock 70 kDa protein 4,Both,5,64,,,,,,,,
List 1 and 2,Q8BH04,PCK2,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",Both,12,64,,,,,,,,
List 1 and 2,Q9CQA3,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",Both,11,64,,,,,,,,
List 1 and 2,Q7TMA2,ZNF503,Zinc finger protein 503,Both,7,64,,,,,,,,
List 1 and 2,Q8BZ47,ZNF609,Zinc finger protein 609,Both,4,64,,,,,,,,
List 1 and 2,P60867,RPS20,40S ribosomal protein S20,Both,4,63,,,,,,,,
List 1 and 2,Q62036,AZI1,5-azacytidine-induced protein 1,Both,4,63,,,,,,,,
List 1 and 2,P45376,AKR1B1,Aldose reductase,Both,3,63,,,,,,,,
List 1 and 2,Q9CZJ2,HSPA12B,Heat shock 70 kDa protein 12B,Both,6,63,,Yes,,,,Yes,,
List 1 and 2,P21447,ABCB1A,Multidrug resistance protein 1A,Both,8,63,,Yes,,Yes,,Yes,,
List 1 and 2,Q62425,NDUFA4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4,Both,4,63,,,,,,,,
List 1 and 2,Q99P88,NUP155,Nuclear pore complex protein Nup155,Both,3,63,,,,,,,,
List 1 and 2,Q91VI7,RNH1,Ribonuclease inhibitor,Both,5,63,,,,,,,,
List 1 and 2,A2ASS6,TTN,Titin,Both,32,63,,,,,,,,
List 1 and 2,Q99L13,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",Both,5,62,,,,,,,,
List 1 and 2,P59999,ARPC4,Actin-related protein 2/3 complex subunit 4,Both,5,62,,,,,,,,
List 1 and 2,P30658,CBX2,Chromobox protein homolog 2,Both,4,62,,,,,,,,
List 1 and 2,Q06890,CLU,Clusterin,Both,3,62,,,,,,,,
List 1 and 2,Q8BLX7,COL16A1,Collagen alpha-1(XVI) chain,Both,9,62,,,,,Yes,,,
List 1 and 2,P68433,HIST1H3A,Histone H3.1,Both,8,62,,,,,,,,
List 1 and 2,Q80UF4,SDCCAG8,Serologically defined colon cancer antigen 8 homolog,Both,5,62,,,,,,,,
List 1 and 2,P14231,ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2,Both,6,62,,,,Yes,,Yes,,
List 1 and 2,Q6P5D8,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,Both,4,62,,,,,,,,
List 1 and 2,P08228,SOD1,Superoxide dismutase [Cu-Zn],Both,6,62,,Yes,,,,Yes,,
List 1 and 2,Q08460,KCNMA1,Calcium-activated potassium channel subunit alpha-1,Both,5,61,Yes,,,,,,,
List 1 and 2,Q9Z0X4,PDE3A,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Both,3,61,,,,,,,,
List 1 and 2,Q01149,COL1A2,Collagen alpha-2(I) chain,Both,15,61,,,,,Yes,,,
List 1 and 2,Q6ZQK0,NCAPD3,Condensin-2 complex subunit D3,Both,3,61,,,,,,,,
List 1 and 2,Q9D172,D10JHU81E,"ES1 protein homolog, mitochondrial",Both,6,61,,,,,,,,
List 1 and 2,Q80WE4,KIF20B,Kinesin-like protein KIF20B,Both,4,61,,,,,,,,
List 1 and 2,P57787,SLC16A3,Monocarboxylate transporter 4,Both,4,61,,,,Yes,,Yes,,
List 1 and 2,Q3UIZ8,MYLK3,Myosin light chain kinase 3,Both,6,61,,,,,,,,
List 1 and 2,Q5FWH6,ARHGEF15,Rho guanine nucleotide exchange factor 15,Both,4,61,,,,,,,,
List 1 and 2,Q99JB2,STOML2,Stomatin-like protein 2,Both,3,61,,,,,,,,
List 1 and 2,P11984,TCP1,T-complex protein 1 subunit alpha,Both,3,61,,,,,,,,
List 1 and 2,P10639,TXN,Thioredoxin,Both,3,61,,,,,,,,
List 1 and 2,P62814,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform",Both,4,61,,,,Yes,,Yes,,
List 1 and 2,P03930,MTATP8,ATP synthase protein 8,Both,3,60,,,,,,,,
List 1 and 2,P60766,CDC42,Cell division control protein 42 homolog,Both,3,60,,,,,,,,
List 1 and 2,Q9D023,BRP44,Mitochondrial pyruvate carrier 2,Both,2,60,,,,,,,,
List 1 and 2,Q3UQ44,IQGAP2,Ras GTPase-activating-like protein IQGAP2,Both,3,60,,,,,,,,
List 1 and 2,Q8BKX6,SMG1,Serine/threonine-protein kinase SMG1,Both,4,60,,,,,,,,
List 1 and 2,Q64318,ZEB1,Zinc finger E-box-binding homeobox 1,Both,2,60,,,,,,,,
List 1 and 2,Q60597,OGDH,"2-oxoglutarate dehydrogenase, mitochondrial",Both,7,59,,,,,,,,
List 1 and 2,P47962,RPL5,60S ribosomal protein L5,Both,4,59,,,,,,,,
List 1 and 2,Q61315,APC,Adenomatous polyposis coli protein,Both,7,59,,,,,,,,
List 1 and 2,P50247,AHCY,Adenosylhomocysteinase,Both,7,59,,,,,,,,
List 1 and 2,Q9D211,CDKN2AIPNL,CDKN2AIP N-terminal-like protein,Both,4,59,,,,,,,,
List 1 and 2,Q8BHM2,DERPC,Chromosome transmission fidelity protein 8 homolog,Both,6,59,,,,,,,,
List 1 and 2,Q99K30,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Both,4,59,,,,,,,,
List 1 and 2,Q8VHX6,FLNC,Filamin-C,Both,12,59,,,,,,,,
List 1 and 2,P21279,GNAQ,Guanine nucleotide-binding protein G(q) subunit alpha,Both,3,59,,Yes,,,,Yes,,
List 1 and 2,Q9ERH7,HIPK3,Homeodomain-interacting protein kinase 3,Both,3,59,,,,,,,,
List 1 and 2,P00342,LDHC,L-lactate dehydrogenase C chain,Both,5,59,,,,,,,,
List 1 and 2,Q3ULD5,MCCC2,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",Both,4,59,,,,,,,,
List 1 and 2,Q6PE54,DHX40,Probable ATP-dependent RNA helicase DHX40,Both,3,59,,,,,,,,
List 1 and 2,Q05920,PC,"Pyruvate carboxylase, mitochondrial",Both,4,59,,,,,,,,
List 1 and 2,Q9R118,HTRA1,Serine protease HTRA1,Both,4,59,,,,,,,,
List 1 and 2,Q8BMA6,SRP68,Signal recognition particle 68 kDa protein,Both,8,59,,,,,,,,
List 1 and 2,Q8BGF3,WDR92,WD repeat-containing protein 92,Both,3,59,,,,,,,,
List 1 and 2,Q9CVB6,ARPC2,Actin-related protein 2/3 complex subunit 2,Both,4,58,,,,,,,,
List 1 and 2,Q8BGT5,GPT2,Alanine aminotransferase 2,Both,4,58,,,,,,,,
List 1 and 2,O88544,COPS4,COP9 signalosome complex subunit 4,Both,3,58,,,,,,,,
List 1 and 2,P46935,NEDD4,E3 ubiquitin-protein ligase NEDD4,Both,5,58,,,,,,,,
List 1 and 2,Q61033,TMPO,"Lamina-associated polypeptide 2, isoforms alpha/zeta",Both,2,58,,,,,,,,
List 1 and 2,Q6DVA0,LEMD2,LEM domain-containing protein 2,Both,3,58,,,,,,,,
List 1 and 2,P97445,CACNA1A,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,Both,5,58,Yes,,,,,,,
List 1 and 2,Q00519,XDH,Xanthine dehydrogenase/oxidase,Both,6,58,,,,,,,,
List 1 and 2,P25444,RPS2,40S ribosomal protein S2,Both,8,57,,,,,,,,
List 1 and 2,Q8K4E0,ALMS1,Alstrom syndrome protein 1 homolog,Both,4,57,,,,,,,,
List 1 and 2,Q8R1C9,APBB3,Amyloid beta A4 precursor protein-binding family B member 3,Both,3,57,,,,,,,,
List 1 and 2,Q9CWM2,CDCA4,Cell division cycle-associated protein 4,Both,3,57,,,,,,,,
List 1 and 2,Q7TSH4,CEP110,Centriolar coiled-coil protein of 110 kDa,Both,3,57,,,,,,,,
List 1 and 2,P28481,COL2A1,Collagen alpha-1(II) chain,Both,6,57,,,,,Yes,,,
List 1 and 2,O88207,COL5A1,Collagen alpha-1(V) chain,Both,4,57,,,,,Yes,,,
List 1 and 2,Q6PB97,FBXL19,F-box/LRR-repeat protein 19,Both,5,57,,,,,,,,
List 1 and 2,Q925J9,MED1,Mediator of RNA polymerase II transcription subunit 1,Both,6,57,,,,,,,,
List 1 and 2,Q8VIM5,MYOCD,Myocardin,Both,3,57,,,,,,,,
List 1 and 2,Q9R269,PPL,Periplakin,Both,4,57,,,,,,,,
List 1 and 2,Q99K51,PLS3,Plastin-3,Both,6,57,,,,,,,,
List 1 and 2,Q8K1S6,SPIRE2,Protein spire homolog 2,Both,2,57,,,,,,,,
List 1 and 2,P70390,SHOX2,Short stature homeobox protein 2,Both,4,57,,,,,,,,
List 1 and 2,O09117,SYPL1,Synaptophysin-like protein 1,Both,4,57,,,,,,,,
List 1 and 2,Q61335,BCAP31,B-cell receptor-associated protein 31,Both,4,56,,,,,,,,
List 1 and 2,Q9JIF7,COPB1,Coatomer subunit beta,Both,5,56,,,,,,,,
List 1 and 2,Q9D0M3,CYC1,"Cytochrome c1, heme protein, mitochondrial",Both,3,56,,,,,,,,
List 1 and 2,O35393,EFNB3,Ephrin-B3,Both,4,56,,,,,,,,
List 1 and 2,Q6NWW9,FNDC3B,Fibronectin type III domain-containing protein 3B,Both,3,56,,,,,,,,
List 1 and 2,O08550,WBP7,Histone-lysine N-methyltransferase MLL4,Both,8,56,,,,,,,,
List 1 and 2,Q80VQ1,LRRC1,Leucine-rich repeat-containing protein 1,Both,3,56,,,,,,,,
List 1 and 2,Q61043,NIN,Ninein,Both,5,56,,,,,,,,
List 1 and 2,Q9JL19,NCOA6,Nuclear receptor coactivator 6,Both,4,56,,,,,,,,
List 1 and 2,Q63912,OMG,Oligodendrocyte-myelin glycoprotein,Both,6,56,,,,,,,,
